
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  2026-06-19 23:04:18 /api/v1/node/nodes/heartbeat ................. ~ 0.16ms
  2026-06-19 23:04:24 /api/v1/internal/geodns/health-view .......... ~ 0.05ms
  2026-06-19 23:04:39 /api/v1/internal/geodns/health-view .......... ~ 0.79ms
  2026-06-19 23:04:42 /api/v1/admin/login ........................ ~ 503.73ms
  2026-06-19 23:04:42 /api/v1/admin/overview ....................... ~ 0.02ms
  2026-06-19 23:04:42 /api/v1/admin/menu-config .................... ~ 0.01ms
  2026-06-19 23:04:45 /api/v1/admin/nodes .......................... ~ 0.27ms
  2026-06-19 23:04:46 /api/v1/admin/rules ........................ ~ 502.16ms
  2026-06-19 23:04:47 /api/v1/admin/alerts ....................... ~ 503.19ms
  2026-06-19 23:04:48 /api/v1/admin/query-logs ..................... ~ 0.11ms
  2026-06-19 23:04:48 /api/v1/node/nodes/heartbeat ................. ~ 0.11ms
  2026-06-19 23:04:48 /api/v1/node/resolver/config ................. ~ 0.32ms
  2026-06-19 23:04:48 /api/v1/admin/console/audit-logs ............. ~ 0.03ms
  2026-06-19 23:04:49 /api/v1/admin/users .......................... ~ 0.14ms
  2026-06-19 23:04:50 /api/v1/admin/devices ........................ ~ 0.09ms
  2026-06-19 23:04:50 /api/v1/admin/member-catalogs ................ ~ 0.45ms
  2026-06-19 23:04:50 /api/v1/admin/member-rules ................... ~ 0.55ms
  2026-06-19 23:04:54 /api/v1/internal/geodns/health-view .......... ~ 0.22ms
  2026-06-19 23:05:09 /api/v1/internal/geodns/health-view .......... ~ 1.09ms
  2026-06-19 23:05:18 /api/v1/node/resolver/config ............... ~ 505.29ms
  2026-06-19 23:05:18 /api/v1/node/nodes/heartbeat ............... ~ 506.24ms
  2026-06-19 23:05:24 /api/v1/internal/geodns/health-view .......... ~ 0.10ms
  2026-06-19 23:05:25 /api/v1/admin/rbac/roles ..................... ~ 0.06ms
  2026-06-19 23:05:25 /api/v1/admin/rbac/permissions ............... ~ 0.16ms
  2026-06-19 23:05:25 /api/v1/admin/rbac/admins .................... ~ 0.22ms
  2026-06-19 23:05:39 /api/v1/internal/geodns/health-view .......... ~ 0.76ms
  2026-06-19 23:05:44 /api/v1/admin/finance/balances ............... ~ 0.17ms
  2026-06-19 23:05:46 /api/v1/admin/finance/recharges .............. ~ 0.13ms
  2026-06-19 23:05:47 /api/v1/admin/finance/bills .................. ~ 0.07ms
  2026-06-19 23:05:48 /api/v1/node/resolver/config ................. ~ 0.10ms
  2026-06-19 23:05:48 /api/v1/node/nodes/heartbeat ................. ~ 0.28ms
  2026-06-19 23:05:48 /api/v1/admin/finance/refunds ................ ~ 0.02ms
  2026-06-19 23:05:49 /api/v1/admin/finance/bills .................. ~ 0.06ms
  2026-06-19 23:05:54 /api/v1/internal/geodns/health-view .......... ~ 0.39ms
  2026-06-19 23:06:03 /api/v1/admin/finance/refunds ................ ~ 0.34ms
  2026-06-19 23:06:06 /api/v1/admin/billing/invoices ............... ~ 0.05ms
  2026-06-19 23:06:09 /api/v1/internal/geodns/health-view .......... ~ 0.07ms
  2026-06-19 23:06:18 /api/v1/node/nodes/heartbeat ................. ~ 0.30ms
  2026-06-19 23:06:18 /api/v1/node/resolver/config ............... ~ 503.95ms
  2026-06-19 23:06:24 /api/v1/internal/geodns/health-view .......... ~ 1.82ms
  2026-06-19 23:06:37 /api/v1/admin/billing/invoices ............. ~ 505.58ms
  2026-06-19 23:06:37 /api/v1/admin/menu-config ........................ ~ 1s
  2026-06-19 23:06:38 /api/v1/user/me ............................ ~ 514.76ms
  2026-06-19 23:06:38 /api/v1/user/me ............................ ~ 503.43ms
